Warehouse,Item Code,Description,Item Type,Mster Uom,Pack Size,Brand,Latest Expiration Date,Inv. Total,Delivered Unbilled,On-Hand,On-Hand Committed,On-Hand Unallocated,On-Hand Available,Total Inv. Cost,Average Unit Cost,Weight Uom,Inv. Total.1,Delivered Unbilled.1,On-Hand.1,On-Hand Committed.1,On-Hand Unallocated.1,On-Hand Available.1,Total Inv. Cost.1,Average Unit Cost.1,Notes,Case_Weight,Category,WH_Code,SE_LandedLb,SE_CasePrice,NE_LandedLb,NE_CasePrice,TX_LandedLb,TX_CasePrice
A R T,812,"UNCKD, ICED GLZD CHCKN WNG SCTN CW",3A,CS,16 BAGS,SMOKEY D,10/09/2026     ,1359.0,0.0,1359.0,0.0,0.0,1359.0,62182.23,45.7559,LB,54360.0,0.0,54360.0,0.0,0.0,54360.0,62182.23,1.1439,https://specff.psce.pw/88xq6w,,Other,A_R_T,2.146015,,2.017905,,2.3718749999999997,
A R T,8195,BACON LO AW FRZ,6D,CS,15 LB,HATFIELD,  /  /         ,273.0,0.0,273.0,0.0,0.0,273.0,9196.47,33.6867,LB,4095.0,0.0,4095.0,0.0,0.0,4095.0,9196.47,2.2458,https://specff.psce.pw/8j86ra,15.0,Pork,A_R_T,3.4132,51.19799999999999,3.28509,49.27635,3.6390599999999997,54.585899999999995
A R T,82730,BEEF BURGER PATTIE 75% 4Z HALAL FRZ,6C,CS,6/32/4OZ,AMERICAN FOODS GROUP,01/05/2026     ,125.0,0.0,125.0,0.0,0.0,125.0,12991.74,103.9339,LB,6000.0,0.0,6000.0,0.0,0.0,6000.0,12991.74,2.1653,https://specff.psce.pw/84xqrb,,Beef,A_R_T,3.3206249999999993,,3.1925149999999993,,3.5464849999999997,
A R T,82825,BEEF BURGER 75% 5.3OZ FRZ,6C,CS,45/5.3OZ,AMERICAN FOODS GROUP,  /  /         ,68.0,0.0,68.0,0.0,0.0,68.0,2201.57,32.376,LB,1020.0,0.0,1020.0,0.0,0.0,1020.0,2201.57,2.1584,https://mfspec.pse.is/86gt64,14.90625,Beef,A_R_T,3.3126899999999995,49.37978531249999,3.1845799999999995,47.470145624999994,3.53855,52.7465109375
A R T,846902,TURKEY DELI NC TEND BROWN FRZ,6K,CS,2/8 LB,JENNIE-O,01/10/2026     ,10.0,0.0,10.0,0.0,0.0,10.0,180.63,18.063,LB,152.0,0.0,152.0,0.0,0.0,152.0,180.63,1.1884,https://specff.psce.pw/8j8598,16.0,Turkey,A_R_T,2.1971899999999995,35.15503999999999,2.0690799999999996,33.10527999999999,2.4230499999999995,38.76879999999999
A R T,85080,BEEF STEAK UTL STRIP TNDRZ 8OZ FRZ,6C,CS,20/8OZ,CITY KITCHEN,  /  /         ,477.0,0.0,477.0,0.0,0.0,477.0,25284.48,53.0073,LB,4770.0,0.0,4770.0,0.0,0.0,4770.0,25284.48,5.3007,https://mfspec.psce.pw/87cn32,10.0,Beef,A_R_T,6.926334999999999,69.26334999999999,6.7982249999999995,67.98225,7.152194999999999,71.52194999999999
A R T,87427,FC BRD CHICKEN TENDERS,6A,CS,5/5 LB,KOCH,  /  /         ,1472.0,0.0,1472.0,0.0,0.0,1472.0,50659.03,34.4151,LB,36800.0,0.0,36800.0,0.0,0.0,36800.0,50659.03,1.3766,https://specff.psce.pw/8k4l54,25.0,Chicken,A_R_T,2.4136199999999994,60.340499999999984,2.28551,57.13775,2.63948,65.987
A R T,88401,FC GRILLED CHICKEN BREAST STRIPS,6A,CS,2/5 LB,KOCH,  /  /         ,3639.0,0.0,3639.0,0.0,572.0,3067.0,39299.02,10.7994,LB,36390.0,0.0,36390.0,0.0,5720.0,30670.0,39299.02,1.0799,https://specff.psce.pw/835hcw,10.0,Chicken,A_R_T,2.072415,20.724149999999998,1.944305,19.44305,2.298275,22.98275
A R T,93680,FC CHICKEN FRIES RETAIL,3A,CS,12-2 LB,ERIE,11/28/2026     ,206.0,0.0,206.0,0.0,0.0,206.0,8701.44,42.24,LB,4944.0,0.0,4944.0,0.0,0.0,4944.0,8701.44,1.76,https://specff.psce.pw/8grtwp,,Chicken,A_R_T,2.8545299999999996,,2.7264199999999996,,3.0803899999999995,
A R T,93681,FC FORMED POPCORN CHICKEN RETAIL,3A,CS,12-2 LB,ERIE,  /  /         ,240.0,0.0,240.0,0.0,0.0,240.0,10137.6,42.24,LB,5760.0,0.0,5760.0,0.0,0.0,5760.0,10137.6,1.76,https://specff.psce.pw/8k4l6d,,Chicken,A_R_T,2.8545299999999996,,2.7264199999999996,,3.0803899999999995,
A R T,93682,"FC CHICKEN PATTIES, 4 OZ",6A,CS,2/5 LB,ERIE,  /  /         ,419.0,0.0,419.0,0.0,0.0,419.0,6243.1,14.9,LB,4190.0,0.0,4190.0,0.0,0.0,4190.0,6243.1,1.49,https://specff.psee.io/83xewa,10.0,Chicken,A_R_T,2.54403,25.440299999999997,2.41592,24.1592,2.7698899999999997,27.6989
A R T,93683,FC CHICKEN NUGGETS RETAIL,3A,CS,12-2 LB,ERIE,  /  /         ,288.0,0.0,288.0,0.0,48.0,240.0,12165.12,42.24,LB,6912.0,0.0,6912.0,0.0,1152.0,5760.0,12165.12,1.76,https://specff.psce.pw/8grufy,,Chicken,A_R_T,2.8545299999999996,,2.7264199999999996,,3.0803899999999995,
